Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,86,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,86,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,86,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.label1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,85,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.labelCheckedItems);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,85,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.labelCheckedItems);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,85,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.labelCheckedItems);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,85,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.labelCheckedItems);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,84,12,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(1179, 512);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,83,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,83,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,83,12,F:System.Windows.Forms.AutoScaleMode.Font,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,83,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,83,12,P:System.Windows.Forms.ContainerControl.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,82,12,P:System.Windows.Forms.ContainerControl.AutoScaleDimensions,,,,,"this.AutoScaleDimensions = new System.Drawing.SizeF(9F, 20F);"
